NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
171607	NA	61	0	0
171607	NA	62	0	0
171607	NA	63	1	0,51533
171607	NA	64	0	0
171607	NA	65	0	0
171607	NA	66	0	0
171607	NA	67	0	0
171607	NA	68	0	0
171607	NA	69	0	0
171607	NA	70	0	0
171607	NA	71	0	0
171607	NA	72	0	0
171610	NA	0	1	1
171610	NA	1	1	0,83844
171610	NA	2	0	0
171610	NA	3	0	0
171610	NA	4	24	17,85458
171610	NA	5	0	0
171610	NA	6	0	0
171610	NA	7	0	0
171610	NA	8	0	0
171610	NA	9	0	0
171610	NA	10	0	0
171610	NA	11	0	0
171610	NA	12	0	0
171610	NA	13	0	0
171610	NA	14	0	0
171610	NA	15	92	62,27379
171610	NA	16	0	0
171610	NA	17	0	0
171610	NA	18	276	186,82138
171610	NA	19	0	0
171610	NA	20	0	0
171610	NA	21	0	0
171610	NA	22	0	0
171610	NA	23	0	0
171610	NA	24	0	0
171610	NA	25	0	0
171610	NA	26	0	0
171610	NA	27	0	0
171610	NA	28	0	0
171610	NA	29	0	0
171610	NA	30	0	0
171610	NA	31	0	0
171610	NA	32	0	0
171610	NA	33	0	0
171610	NA	34	0	0
171610	NA	35	0	0
171610	NA	36	0	0
171610	NA	37	0	0
171610	NA	38	0	0
171610	NA	39	0	0
171610	NA	40	0	0
171610	NA	41	0	0
171610	NA	42	0	0
171610	NA	43	0	0
171610	NA	44	0	0
171610	NA	45	0	0
171610	NA	46	0	0
171610	NA	47	0	0
171610	NA	48	0	0
171610	NA	49	0	0
171610	NA	50	0	0
171610	NA	51	0	0
171610	NA	52	0	0
171610	NA	53	0	0
171610	NA	54	0	0
171610	NA	55	0	0
171610	NA	56	0	0
171610	NA	57	0	0
171610	NA	58	0	0
171610	NA	59	0	0
171610	NA	60	0	0
171610	NA	61	0	0
171610	NA	62	0	0
171610	NA	63	0	0
171610	NA	64	0	0
171610	NA	65	0	0
171610	NA	66	0	0
171610	NA	67	0	0
171610	NA	68	0	0
171610	NA	69	0	0
171610	NA	70	0	0
171610	NA	71	0	0
171610	NA	72	0	0
171619	NA	0	4	4
171619	NA	1	43	36,05311
171619	NA	2	6	5,03067
171619	NA	3	0	0
171619	NA	4	462	343,70058
171619	NA	5	129	87,31869
171619	NA	6	572	425,53405
171619	NA	7	4	2,97576
171619	NA	8	0	0
171619	NA	9	5	3,7197
171619	NA	10	0	0
171619	NA	11	0	0
171619	NA	12	0	0
171619	NA	13	0	0
171619	NA	14	0	0
171619	NA	15	5062	3426,41245
171619	NA	16	1382	804,85631
